mediatype,sector,dc_type_de,dc_type_en,dnb_uri,rdf_type_w,rdf_type_e,rdf_type_m,rdf_type_i,source_vocab,notes
http://ddb.vocnet.org/medientyp/mt001,any,default,Default,,,,https://w3id.org/ac-ontology/aco#AudioManifestation,,aco,"Except when type is Foto, Archivalie"
http://ddb.vocnet.org/medientyp/mt001,any,Audiofile,Audio File,https://d-nb.info/gnd/7658708-3,,,https://w3id.org/ac-ontology/aco#AudioManifestation,,aco,Often recordings of theater performances.
http://ddb.vocnet.org/medientyp/mt001,any,Band,Volume,,,,https://w3id.org/ac-ontology/aco#AudioManifestation,,aco,Often an audio book. Inhaltsverzeichnis view field is the corresponding gnd:Werk
http://ddb.vocnet.org/medientyp/mt001,any,CD,CD,http://d-nb.info/gnd/4522869-3,http://purl.org/ontology/mo/MusicalWork,,http://purl.org/ontology/mo/MusicalManifestation,,mo,
http://ddb.vocnet.org/medientyp/mt001,any,Folie,Phonographic Foil,,http://purl.org/ontology/mo/MusicalWork,,http://purl.org/ontology/mo/MusicalManifestation,,mo,Usual topic: Lied or Song
http://ddb.vocnet.org/medientyp/mt001,any,Hörfunksendung,Radio Ads,https://d-nb.info/gnd/4160384-9,,,https://w3id.org/ac-ontology/aco#AudioManifestation,,aco,
http://ddb.vocnet.org/medientyp/mt001,any,Inszenierung,Stage Production,https://d-nb.info/gnd/4027223-0,,,https://w3id.org/ac-ontology/aco#AudioManifestation,,aco,Often recordings of theater performances.
http://ddb.vocnet.org/medientyp/mt001,any,Interview,Interview,http://d-nb.info/gnd/4027503-6,,,https://w3id.org/ac-ontology/aco#AudioManifestation,,aco,
http://ddb.vocnet.org/medientyp/mt001,any,Langspielplatte,Long Play Disc,https://d-nb.info/gnd/4137299-2,http://purl.org/ontology/mo/MusicalWork,,http://purl.org/ontology/mo/MusicalManifestation,,mo,Usual topic: Oper or Opera
http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte004,Magnettonband,Tape Record,https://d-nb.info/gnd/4036989-4,,,https://w3id.org/ac-ontology/aco#AudioManifestation,,aco,sec_04 (Museum); topic: Mono; Audio books
http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte006,Magnettonband / Vortrag,Tape Record,https://d-nb.info/gnd/4036989-4,,,https://w3id.org/ac-ontology/aco#AudioManifestation,,aco,May also be written as Vortäge
http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte006,Kardiologie,Tape Record,https://d-nb.info/gnd/4114141-6,,,https://w3id.org/ac-ontology/aco#AudioManifestation,,aco,this is a topic with objecttype Magnettonband
http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte004,Mono,Mono,,,,https://w3id.org/ac-ontology/aco#AudioManifestation,,aco,
http://ddb.vocnet.org/medientyp/mt001,any,Monografie,Monography,https://d-nb.info/gnd/4454906-4,,,https://w3id.org/ac-ontology/aco#AudioManifestation,,aco,
http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte004,Platte,Disc,,,,https://w3id.org/ac-ontology/aco#AudioManifestation,,aco,
http://ddb.vocnet.org/medientyp/mt001,any,Schallfolie,Phonographic Foil,,http://purl.org/ontology/mo/MusicalWork,,http://purl.org/ontology/mo/MusicalManifestation,,mo,"Other topics of Schallfolie, such as Sprechplatte, are defined under the key, Sprechplatte."
http://ddb.vocnet.org/medientyp/mt001,any,Schallplatte,Phonograph Record,https://d-nb.info/gnd/4052032-8,http://purl.org/ontology/mo/MusicalWork,,http://purl.org/ontology/mo/MusicalManifestation,,mo,https://d-nb.info/gnd/4052032-8
http://ddb.vocnet.org/medientyp/mt001,any,Schellackplatte,Gramophone Record,http://d-nb.info/gnd/4135113-7,http://purl.org/ontology/mo/MusicalWork,,http://purl.org/ontology/mo/MusicalManifestation,,mo,
