mediatype,sector,dc_type_de,count,gnd_uri,has_gnd
any,http://ddb.vocnet.org/sparte/sparte002,Artikel,7,O65D4Z426LE7LOY24IQP5AIZPHHFVPPA,true
any,http://ddb.vocnet.org/sparte/sparte002,Buch,2,SUBUQ4OBQU4HF5R377PEZWX2HEPMWOUV,true
any,http://ddb.vocnet.org/sparte/sparte002,Buchbeitrag,10,NZCOZHNJE3QDQPIWQKEBHSBJ3FH74WHL,true
http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte001,Werbesendung,8,http://d-nb.info/gnd/4189638-5,true
http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte002,Musikaufführung,12,http://vocab.getty.edu/aat/300262956,true
http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte004,Schellackplatte,9,http://d-nb.info/gnd/4135113-7,true
http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte004,Tonaufnahme,13,http://vocab.getty.edu/aat/300028633,true
http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte005,Schallplatte,1,7O36MCGHD6B3UPCBKAJ4XUAI5NTMKMAD,true
http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte005,Schellackplatte,422,http://d-nb.info/gnd/4135113-7,true
http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte005,Tonbandspule,1,http://d-nb.info/gnd/4522869-3,true
http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte006,Audiofile,7,CE6RQHOS4I7ZOP4HD3VTV6AQFISJ3MJQ,true
http://ddb.vocnet.org/medientyp/mt001,http://ddb.vocnet.org/sparte/sparte006,Inszenierung,3,UBIKQQEJCBLFQRQHLOO7DM4OJBNMYMO4,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Abschrift,78,http://vocab.getty.edu/aat/300404333,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Akte,1,http://d-nb.info/gnd/4000925-7,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Akten,45,2QKOJ7E3MSMBYHXWSOP7TIY5MGUEA2TC,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Albumblatt (Papier),1,D6RDVO2JLIJ6TZENRQS6M5OGBTXMKOU7,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Ansichtskarte,102,http://vocab.getty.edu/aat/300026819,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Anteilschein,1,HLHDM26HXYP4X3CAWSZ7LDRKMS73V7NV,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Archivale,920,DUZHGFFOZJQSJ336ZBKGORMUSV3JZSPI,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Archivalie – Korrespondenz,7,,false
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Archivalie – Werkmanuskript,1,,false
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Archivalien,1,RJJQNBYOV5QJLM5ELNTP62LHFGL3RCZJ,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Archivgut,2,3JEAJEPPU3FGZHRZSXIYSPT4ZZ3R2QR5,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Artikel,2,E5S3AHNOSTOSWHWH5MI5SODQDTZGG6TO,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Aufruf,1,http://d-nb.info/gnd/4324096-3,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Aufsatz,2,XQRNXKSGW4RJ5QAW7TTFLXS5WPCTVLZK,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Aufsatz (Text),1,http://vocab.getty.edu/aat/300026291,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Bauzeichnung,1,http://vocab.getty.edu/aat/300034719,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Bescheinigung,115,http://vocab.getty.edu/aat/300026841,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Besitzvermerk,1,EEJOUI5CHO6IKX5TQGAOF3AUO4GPNKSE,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Bewilligung,1,7ATY2KKNKJAMJZIJQRCHZQU7ACRGLWKV,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Bild,110,https://d-nb.info/gnd/4006568-6,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Bilder,312,DLUZFCXXMNKTKGPOD6PMCS5NGFYDHPRH,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Billet,1,F3UYOUH7ZPNDM4W5V2RKN2UGU765URZU,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Brief,873,https://vocab.getty.edu/page/aat/300026879,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Briefabschrift,6,6ASW2SZZ66XHGGXDWS3DYTPQYGAIOVPM,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Briefbogen,1,http://vocab.getty.edu/aat/300193998,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Briefentwurf,7,ULYHEFCBPGR73XBYQPX3ZCVEXHDEN35L,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Briefgedicht,2,http://d-nb.info/gnd/4300048-4,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Briefmarke,1,http://vocab.getty.edu/aat/300037321,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Briefumschlag,7,http://vocab.getty.edu/aat/300197601,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Buch,1,http://vocab.getty.edu/aat/300028051,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Buch mit handschriftlichen Eintragungen,2,2JSI6DG4M5GK27MADSRPSUHQJ33SFXY7,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Buch mit handschriftlicher Eintragung,2,XSFGZMPIJWXAAA25SUO4LBDAZCNGV2N3,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Bühnenbildentwurf,7,MYGD7EKZORIKN3J4BUXMH5AJXW7VGN3B,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Bühnenbildfotografie,2,A45JGCTA2GB34PSKMBSNP2ZNBDEHZKO6,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Dokument,16,http://vocab.getty.edu/aat/300189226,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Dokumentarfotografie,3,W73QGJRELJQ7HVRF5KUOEZ5DKX5IU45P,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Drama,1,http://d-nb.info/gnd/4012899-4,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Druck,7,http://vocab.getty.edu/aat/300041273,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Druckfahne,1,DNG43XE6CYJFPWZKVDSMXNFLBO7VM36J,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Druckgrafik,51,N7CACCZHI5OXT7BKSKXRLJGZ6LJKSIK4,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Drucksache,27,http://d-nb.info/gnd/4013119-1,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Druckvorlage,1,http://d-nb.info/gnd/4417379-9,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Echtheitsbestätigung,1,PPMF7XF4KEX2VCPJNRJ62O2UIOL4VH5P,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Einzelporträt,1,http://vocab.getty.edu/page/aat/300404771,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Entwurf,1,http://d-nb.info/gnd/4121208-3,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Exzerpt,1,WP7V6G33WLMQFDKHTA26DX3QGMOT7J3J,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Farblithografie,1,http://d-nb.info/gnd/4279198-4,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Foto,6,BBZEU2XBR2GRCPAW553EXXE4E5H7RNWR,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Fotoalbum,10,http://vocab.getty.edu/aat/300026695,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Fotografie,1158,http://vocab.getty.edu/aat/300054225,true
http://ddb.vocnet.org/medientyp/mt002,http://ddb.vocnet.org/sparte/sparte001,Fotografie einer Zeichnung,2,CS46O5IFI56M3G5RZOO3LZXNDLC3RZUE,true
