dc_type_de,gnd_uri
Abbildungen,EEKLQCWVPMO27NDAYBZJNMQW4WIDYNTJ
Abguss,DHL5MHSFFPAJWAT3PLB3BNDM5AIHD25E
Abhandlung,P6F3YA2IKDZBQAVANGE5JSK7EOUYQI35
Abschlussarbeit (Bachelor),HQVXLKDYVDJN5TY7RDAOGD2ZHXHBSGDM
Abschlussarbeit (Master),UB6AMSPMM736GHKG2PVW7F4HGVZ5JNL7
Abschnitt,http://ddb.vocnet.org/hierarchietyp/ht001
Abschrift,http://vocab.getty.edu/aat/300404333
Abstrakte Plastik,http://d-nb.info/gnd/4141149-3
abstrakte Skulptur,http://vocab.getty.edu/aat/300047090
Abzeichen,2K4R4UY24LNQ3CUXFCEBT67XUAQIBPI5
Abzeichen Roter Frontkämpferbund,O55AFU65NKQ7JHHJNF63JPKQIZ3A7P45
Akte,https://d-nb.info/gnd/4000925-7
Akte/Dokument,JSTHQCJBK452UDS7NBJWKZIQGMS4XE7U
Akten,NCIH4RYT76YMAFS5PX4O7MMVJBKNTRP7
Akten und Einzelstücke,PMHFYRYLA5UDRXQSDIOPNMZH7XLMA7AM
Akzidenz,VT6R6BRFX2WIRIKCMPY2YNYDJXYEHG4F
Akzidenzdruck (Verlagsanzeige),KAHDEP7DRJEOG62C3YUUP2WUN6DS56LF
Album,http://vocab.getty.edu/aat/300026690
Album Druck,IEGEKVKJWSELHGR6TKL2QI5SFUUKHHXE
Album für Liebig-Bilder Nr. 451-500,OTC5XADMYXS5LGD6EJZNVZSROCC5BJQF
Album Print,WEUCY2X6HUVR5MCTSHVGMIOCILCBIMDT
Album Zeichnung,LOBY6HDMTL7DJIPOPV3Q2MXBYRZJN7RL
Albumblatt (Papier),LBW2X5T4O7DLAKU7VAPFL2VKVHBFRZTD
Alchemie,
Altkarte,https://d-nb.info/gnd/4611904-8
"Amtsbücher, Register und Grundbücher",5U7QF4QHUFRAJUMVBWCIPRNEZH4IIVQV
Amtsdruckschrift,
Amulett,http://vocab.getty.edu/aat/300266585
Anhänger,XBZXPTVMT7SGMXI462HAXBQAKLMKQDIQ
Anleitung,http://d-nb.info/gnd/4142527-3
Annotation,https://d-nb.info/gnd/4560829-5
