entity_type,json_key,record_count,record_pct,entity_pct
Agent,about,422026,365.61,365.61
Agent,prefLabel,422026,365.61,365.61
Agent,altLabel,422026,365.61,365.61
Agent,note,422026,365.61,365.61
Agent,date,422026,365.61,365.61
Agent,type,422026,365.61,365.61
Agent,identifier,422026,365.61,365.61
Agent,hasPart,422026,365.61,365.61
Agent,isPartOf,422026,365.61,365.61
Agent,begin,422026,365.61,365.61
Agent,end,422026,365.61,365.61
Agent,hasMet,422026,365.61,365.61
Agent,isRelatedTo,422026,365.61,365.61
Agent,name,422026,365.61,365.61
Agent,biographicalInformation,422026,365.61,365.61
Agent,dateOfBirth,422026,365.61,365.61
Agent,dateOfDeath,422026,365.61,365.61
Agent,dateOfEstablishment,422026,365.61,365.61
Agent,dateOfTermination,422026,365.61,365.61
Agent,gender,422026,365.61,365.61
Agent,placeOfBirth,422026,365.61,365.61
Agent,placeOfDeath,422026,365.61,365.61
Agent,professionOrOccupation,422026,365.61,365.61
Agent,sameAs,422026,365.61,365.61
Agent,wasPresentAt,422026,365.61,365.61
Aggregation,about,115432,100.0,100.0
Aggregation,aggregatedCHO,115432,100.0,100.0
Aggregation,isShownAt,115432,100.0,100.0
Aggregation,isShownBy,115432,100.0,100.0
Aggregation,edmRights,115432,100.0,100.0
Aggregation,dcTermsRights,115432,100.0,100.0
Aggregation,provider,115432,100.0,100.0
Aggregation,dataProvider,115432,100.0,100.0
Aggregation,object,115432,100.0,100.0
Aggregation,aggregator,115432,100.0,100.0
Aggregation,hasView,115432,100.0,100.0
Concept,about,717638,621.7,621.7
Concept,notation,717638,621.7,621.7
Concept,prefLabel,717638,621.7,621.7
Event,about,158407,137.23,143.93
Event,hasType,158407,137.23,143.93
Event,happenedAt,158407,137.23,143.93
Event,occuredAt,158407,137.23,143.93
Event,P11_had_participant,158407,137.23,143.93
PhysicalThing,title,55771,48.32,250.49
PhysicalThing,hierarchyType,55771,48.32,250.49
PhysicalThing,aggregationEntity,55771,48.32,250.49
PhysicalThing,about,55771,48.32,250.49
PhysicalThing,isPartOf,54812,47.48,246.18
PhysicalThing,hierarchyPosition,53861,46.66,241.91
Place,about,118088,102.3,199.31
Place,lat,118088,102.3,199.31
Place,long,118088,102.3,199.31
Place,alt,118088,102.3,199.31
Place,prefLabel,118088,102.3,199.31
Place,altLabel,118088,102.3,199.31
Place,note,118088,102.3,199.31
Place,hasPart,118088,102.3,199.31
Place,isNextInSequence,118088,102.3,199.31
Place,sameAs,118088,102.3,199.31
Place,type,118088,102.3,199.31
Place,isPartOf,118088,102.3,199.31
ProvidedCHO,about,115432,100.0,100.0
ProvidedCHO,title,115432,100.0,100.0
ProvidedCHO,hasMet,110059,95.35,95.35
ProvidedCHO,identifier,101218,87.69,87.69
ProvidedCHO,hasType,97272,84.27,84.27
ProvidedCHO,hierarchyType,92957,80.53,80.53
ProvidedCHO,dcType,92853,80.44,80.44
ProvidedCHO,description,88443,76.62,76.62
ProvidedCHO,aggregationEntity,76855,66.58,66.58
ProvidedCHO,extent,76759,66.5,66.5
ProvidedCHO,edmType,73045,63.28,63.28
ProvidedCHO,language,71681,62.1,62.1
ProvidedCHO,dcTermsLanguage,71681,62.1,62.1
ProvidedCHO,dcSubject,69588,60.28,60.28
ProvidedCHO,dcTermsSubject,69588,60.28,60.28
ProvidedCHO,dcTermSubject,69588,60.28,60.28
ProvidedCHO,isPartOf,67539,58.51,58.51
ProvidedCHO,date,51936,44.99,44.99
ProvidedCHO,hierarchyPosition,50988,44.17,44.17
ProvidedCHO,currentLocation,50385,43.65,43.65
ProvidedCHO,issued,47879,41.48,41.48
ProvidedCHO,creator,42589,36.9,36.9
ProvidedCHO,contributor,30251,26.21,26.21
ProvidedCHO,format,20496,17.76,17.76
ProvidedCHO,spatial,8194,7.1,7.1
ProvidedCHO,alternative,6048,5.24,5.24
TimeSpan,about,99930,86.57,100.0
TimeSpan,begin,99930,86.57,100.0
TimeSpan,end,99930,86.57,100.0
WebResource,about,312538,270.76,270.76
WebResource,type,312538,270.76,270.76
WebResource,edmRights,312538,270.76,270.76
WebResource,dcTermsRights,312538,270.76,270.76
WebResource,creator,312538,270.76,270.76
