sector,mediatype,chain,description
http://ddb.vocnet.org/sparte/sparte001,image,aggregator-info,
http://ddb.vocnet.org/sparte/sparte001,text,aggregator-info,
http://ddb.vocnet.org/sparte/sparte001,unknown,aggregator-info,
http://ddb.vocnet.org/sparte/sparte002,image,aggregator-info,
http://ddb.vocnet.org/sparte/sparte002,text,aggregator-info,
http://ddb.vocnet.org/sparte/sparte002,unknown,aggregator-info,
http://ddb.vocnet.org/sparte/sparte003,image,aggregator-info,
http://ddb.vocnet.org/sparte/sparte003,unknown,aggregator-info,
http://ddb.vocnet.org/sparte/sparte004,image,aggregator-info,
http://ddb.vocnet.org/sparte/sparte004,text,aggregator-info,
http://ddb.vocnet.org/sparte/sparte005,audio,aggregator-info,
http://ddb.vocnet.org/sparte/sparte005,image,aggregator-info,
http://ddb.vocnet.org/sparte/sparte006,image,aggregator-info,
http://ddb.vocnet.org/sparte/sparte006,unknown,aggregator-info,
http://ddb.vocnet.org/sparte/sparte001,image,aggregator-info.aggregator-collection,
http://ddb.vocnet.org/sparte/sparte001,unknown,aggregator-info.aggregator-collection,
http://ddb.vocnet.org/sparte/sparte002,image,aggregator-info.aggregator-collection,
http://ddb.vocnet.org/sparte/sparte002,text,aggregator-info.aggregator-collection,
http://ddb.vocnet.org/sparte/sparte002,unknown,aggregator-info.aggregator-collection,
http://ddb.vocnet.org/sparte/sparte006,image,aggregator-info.aggregator-collection,
http://ddb.vocnet.org/sparte/sparte001,image,aggregator-info.aggregator-ddb-id,
http://ddb.vocnet.org/sparte/sparte001,unknown,aggregator-info.aggregator-ddb-id,
http://ddb.vocnet.org/sparte/sparte002,image,aggregator-info.aggregator-ddb-id,
http://ddb.vocnet.org/sparte/sparte002,text,aggregator-info.aggregator-ddb-id,
http://ddb.vocnet.org/sparte/sparte002,unknown,aggregator-info.aggregator-ddb-id,
http://ddb.vocnet.org/sparte/sparte006,image,aggregator-info.aggregator-ddb-id,
http://ddb.vocnet.org/sparte/sparte001,image,aggregator-info.aggregator-domains,
http://ddb.vocnet.org/sparte/sparte001,unknown,aggregator-info.aggregator-domains,
http://ddb.vocnet.org/sparte/sparte002,image,aggregator-info.aggregator-domains,
http://ddb.vocnet.org/sparte/sparte002,text,aggregator-info.aggregator-domains,
http://ddb.vocnet.org/sparte/sparte002,unknown,aggregator-info.aggregator-domains,
http://ddb.vocnet.org/sparte/sparte006,image,aggregator-info.aggregator-domains,
http://ddb.vocnet.org/sparte/sparte001,image,aggregator-info.aggregator-domains.aggregatorDomainList,
http://ddb.vocnet.org/sparte/sparte001,unknown,aggregator-info.aggregator-domains.aggregatorDomainList,
http://ddb.vocnet.org/sparte/sparte002,image,aggregator-info.aggregator-domains.aggregatorDomainList,
http://ddb.vocnet.org/sparte/sparte002,text,aggregator-info.aggregator-domains.aggregatorDomainList,
http://ddb.vocnet.org/sparte/sparte002,unknown,aggregator-info.aggregator-domains.aggregatorDomainList,
http://ddb.vocnet.org/sparte/sparte006,image,aggregator-info.aggregator-domains.aggregatorDomainList,
http://ddb.vocnet.org/sparte/sparte001,image,aggregator-info.aggregator-domains.aggregatorDomainList[0],
http://ddb.vocnet.org/sparte/sparte001,unknown,aggregator-info.aggregator-domains.aggregatorDomainList[0],
http://ddb.vocnet.org/sparte/sparte002,image,aggregator-info.aggregator-domains.aggregatorDomainList[0],
http://ddb.vocnet.org/sparte/sparte002,text,aggregator-info.aggregator-domains.aggregatorDomainList[0],
http://ddb.vocnet.org/sparte/sparte002,unknown,aggregator-info.aggregator-domains.aggregatorDomainList[0],
http://ddb.vocnet.org/sparte/sparte006,image,aggregator-info.aggregator-domains.aggregatorDomainList[0],
http://ddb.vocnet.org/sparte/sparte001,image,aggregator-info.aggregator-domains.aggregatorDomainList[1],
http://ddb.vocnet.org/sparte/sparte001,unknown,aggregator-info.aggregator-domains.aggregatorDomainList[1],
http://ddb.vocnet.org/sparte/sparte002,image,aggregator-info.aggregator-domains.aggregatorDomainList[1],
http://ddb.vocnet.org/sparte/sparte002,text,aggregator-info.aggregator-domains.aggregatorDomainList[1],
http://ddb.vocnet.org/sparte/sparte002,unknown,aggregator-info.aggregator-domains.aggregatorDomainList[1],
http://ddb.vocnet.org/sparte/sparte006,image,aggregator-info.aggregator-domains.aggregatorDomainList[1],
http://ddb.vocnet.org/sparte/sparte001,image,aggregator-info.aggregator-domains.aggregatorDomainList[2],
http://ddb.vocnet.org/sparte/sparte001,unknown,aggregator-info.aggregator-domains.aggregatorDomainList[2],
http://ddb.vocnet.org/sparte/sparte002,image,aggregator-info.aggregator-domains.aggregatorDomainList[2],
http://ddb.vocnet.org/sparte/sparte002,text,aggregator-info.aggregator-domains.aggregatorDomainList[2],
http://ddb.vocnet.org/sparte/sparte002,unknown,aggregator-info.aggregator-domains.aggregatorDomainList[2],
http://ddb.vocnet.org/sparte/sparte006,image,aggregator-info.aggregator-domains.aggregatorDomainList[2],
http://ddb.vocnet.org/sparte/sparte001,image,aggregator-info.aggregator-email,
http://ddb.vocnet.org/sparte/sparte001,unknown,aggregator-info.aggregator-email,
http://ddb.vocnet.org/sparte/sparte002,image,aggregator-info.aggregator-email,
http://ddb.vocnet.org/sparte/sparte002,text,aggregator-info.aggregator-email,
http://ddb.vocnet.org/sparte/sparte002,unknown,aggregator-info.aggregator-email,
http://ddb.vocnet.org/sparte/sparte006,image,aggregator-info.aggregator-email,
http://ddb.vocnet.org/sparte/sparte001,image,aggregator-info.aggregator-europeana-id,
http://ddb.vocnet.org/sparte/sparte001,unknown,aggregator-info.aggregator-europeana-id,
http://ddb.vocnet.org/sparte/sparte002,image,aggregator-info.aggregator-europeana-id,
http://ddb.vocnet.org/sparte/sparte002,text,aggregator-info.aggregator-europeana-id,
http://ddb.vocnet.org/sparte/sparte002,unknown,aggregator-info.aggregator-europeana-id,
http://ddb.vocnet.org/sparte/sparte006,image,aggregator-info.aggregator-europeana-id,
http://ddb.vocnet.org/sparte/sparte001,image,aggregator-info.aggregator-europeana-name,
http://ddb.vocnet.org/sparte/sparte001,unknown,aggregator-info.aggregator-europeana-name,
http://ddb.vocnet.org/sparte/sparte002,image,aggregator-info.aggregator-europeana-name,
http://ddb.vocnet.org/sparte/sparte002,text,aggregator-info.aggregator-europeana-name,
http://ddb.vocnet.org/sparte/sparte002,unknown,aggregator-info.aggregator-europeana-name,
http://ddb.vocnet.org/sparte/sparte006,image,aggregator-info.aggregator-europeana-name,
http://ddb.vocnet.org/sparte/sparte001,image,aggregator-info.aggregator-facebook,
http://ddb.vocnet.org/sparte/sparte001,unknown,aggregator-info.aggregator-facebook,
http://ddb.vocnet.org/sparte/sparte002,image,aggregator-info.aggregator-facebook,
http://ddb.vocnet.org/sparte/sparte002,text,aggregator-info.aggregator-facebook,
http://ddb.vocnet.org/sparte/sparte002,unknown,aggregator-info.aggregator-facebook,
http://ddb.vocnet.org/sparte/sparte006,image,aggregator-info.aggregator-facebook,
http://ddb.vocnet.org/sparte/sparte001,image,aggregator-info.aggregator-id,
http://ddb.vocnet.org/sparte/sparte001,unknown,aggregator-info.aggregator-id,
http://ddb.vocnet.org/sparte/sparte002,image,aggregator-info.aggregator-id,
