object_id,sector,provider_name,timespan_begin,timespan_end,dc_type,dc_subject,metadata_format,view_fields,digitized
222NZKK63TNRLC2VETRV722VKBDSUVGL,Museum,Deutsche Fotothek,2018.0,2018.0,"[""Fotoalbum""]","[""Album"", ""Einsteckalbum"", ""Kalligraphie"", ""Urlaub"", ""Tierfotografie"", ""Landschaft"", ""Architektur"", ""Straßenbild"", ""Irmscher, Willy"", ""Goethe, Johann Wolfgang von""]",LIDO,"[""Original Titel"", ""Objekt Bezeichnung"", ""Objektbeschreibung"", ""Maße"", ""Ereignis"", ""(wer)"", ""(wann)"", ""Bezug (was)"", ""Bezug (wer)"", ""Bezug (Ereignis)"", ""(wann)"", ""(Beschreibung)"", ""Klassifikation"", ""Standort"", ""Inventarnummer"", ""Weitere Nummer(n)""]",True
222SF6AM6ZCXSJTNREHJUCX5SRTJDBK7,Archive,Klassik Stiftung Weimar: Goethe- und Schiller-Archiv,1830.0,1830.0,"[""Dokument""]","[""Rochlitz, Johann Friedrich"", ""Goethe, Johann Wolfgang von""]",EAD,"[""Signatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Archivalientyp"", ""Indexbegriffe Person/Institution"", ""Archivalientitel""]",True
2232SHIEGSHBLDSJUZF4PL53QYCFXSUX,Library,Bayerische Staatsbibliothek,1895.0,1895.0,"[""text""]","[""Kunst"", ""Wissen""]",MARC 21,"[""Urheber"", ""Ereignis"", ""(wo)"", ""(wer)"", ""(wann)"", ""Dokumenttyp"", ""Sprache"", ""Umfang"", ""Schlagwort"", ""URN"", ""Standort""]",True
223GMAWUHPGI76OQUKSL54XVOCHHXDWD,Archive,Landesarchiv Berlin,,,[],"[""Faust I. und II."", ""Goethe, Johann Wolfgang von"", ""Lassen, Eduard""]",EAD,"[""Archivaliensignatur"", ""Bestand"", ""Kontext"", ""Enthältvermerke"", ""Archivalientyp"", ""Bemerkungen"", ""Indexbegriffe Person/Institution"", ""Indexbegriffe Sache""]",False
223HW6FWOQ76BH2QWZIBG25BHOXKCY2I,Library,Bayerische Staatsbibliothek,1849.0,1849.0,"[""notated music""]",[],MARC 21,"[""Weitere Titel"", ""Urheber"", ""Ereignis"", ""(wo)"", ""(wer)"", ""(wann)"", ""Dokumenttyp"", ""Sprache"", ""Umfang"", ""Anmerkungen"", ""URN"", ""Standort""]",True
223JG2LHJF3OMIAZ2ISKXOMKU6FXTVKJ,Other,Freies Deutsches Hochstift / Frankfurter Goethe-Museum - Kunstsammlung / Museum,,,"[""Zeichnung""]","[""Waldlandschaft"", ""Landschaftsbild""]",LIDO,"[""Objekt Bezeichnung"", ""Objektbeschreibung"", ""Material/Technik"", ""Maße"", ""Bezug (was)"", ""Verwandtes Objekt/Literatur"", ""Standort"", ""Inventarnummer"", ""Sammlung""]",True
223RWCKSD2RYPALJ276QA4CGVNRJOG2K,Library,Deutsche Nationalbibliothek,,,[],"[""Goethe, Johann Wolfgang von / Faust I"", ""Zitat"", ""Phraseologie"", ""Übersetzung"", ""Deutsche Literatur""]",MARC 21,"[""Urheber"", ""Sprache"", ""Umfang"", ""Schlagwort"", ""Klassifikation"", ""Erschienen in"", ""URN"", ""Standort""]",True
223ZWIZMKRPEKXZ567L5J3NCOK7QHZQF,Library,ZBW - Deutsche Zentralbibliothek für Wirtschaftswissenschaften - Leibniz-Informationszentrum Wirtschaft,2014.0,2014.0,"[""Arbeitspapier""]","[""Wirtschaft"", ""Banks; Depository Institutions; Micro Finance Institutions; Mortgages"", ""Financial Institutions and Services: Government Policy and Regulation"", ""Intergovernmental Relations; Federalism; Secession"", ""Business and Securities Law"", ""Regulated Industries and Administrative Law"", ""Firm Organization and Market Structure"", ""prudential supervision"", ""banking union"", ""regulatory capture"", ""political economy of bureaucracy"", ""Single Supervisory Mechanism (SSM)"", ""European Central Bank (ECB)"", ""European Banking Authority (EBA)""]",Dublin Core,"[""Objektbezeichnung"", ""Objektbeschreibung"", ""Klassifikation"", ""Thema"", ""Ereignis"", ""(wer)"", ""Ereignis"", ""(wer)"", ""(wo)"", ""(wann)"", ""Erschienen in"", ""Sprache"", ""URN"", ""Handle"", ""DOI""]",True
22424UUJXWRCZBFORC4EHSSUZGRCIXAX,Museum,"Bibliotheca Hertziana, Max-Planck-Institut für Kunstgeschichte Rom. Fotothek",2019.0,2019.0,"[""Druck""]","[""Druckgraphik""]",LIDO,"[""Objekt Bezeichnung"", ""Material/Technik"", ""Maße"", ""Ereignis"", ""(wer)"", ""(wann)"", ""Ereignis"", ""(wer)"", ""Beschriftung"", ""Verwandtes Objekt/Literatur"", ""Klassifikation"", ""Standort"", ""Weitere Nummer(n)""]",True
2247QJNIJYOPWSC3FR23HPB57CGJEJAB,Archive,Klassik Stiftung Weimar: Goethe- und Schiller-Archiv,1830.0,1830.0,"[""Dokument""]","[""Zelter, Karl Friedrich"", ""Goethe, Johann Wolfgang von""]",EAD,"[""Signatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Umfang"", ""Archivalientyp"", ""Indexbegriffe Person/Institution"", ""Archivalientitel""]",True
224BB273RJDT6WN7GAIRV4AJ5ES5YPC5,Archive,Sächsisches Staatsarchiv,1915.0,1920.0,"[""Akten""]",[],EAD,"[""Archivaliensignatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Enthältvermerke"", ""Archivalientyp""]",False
224ORUYARB2LZD7AVJSFLSFYOKS3IPHK,Archive,Landesarchiv Baden-Württemberg,1993.0,1993.0,"[""Audio-Visuelle Medien""]","[""Langer, Norbert; Schauspieler, Sprecher, 1941-"", ""Rau, Lieselotte; Schauspielerin, Sprecherin, 1929-"", ""Ritchie, James M.; Philologe, Germanist, 1927-2013"", ""Seefried, Mona; Schauspielerin, Sprecherin, 1957-"", ""Wolffhardt, Rainer; Filmregisseur, Regisseur, 1927-""]",EAD,"[""Archivaliensignatur"", ""Alt-/Vorsignatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Enthältvermerke"", ""Umfang"", ""Archivalientyp"", ""Sonstige Erschließungsangaben"", ""Indexbegriffe Person/Institution""]",False
224WMDCYFJEMGXL5T6PIC23L34IBXL5A,Archive,Klassik Stiftung Weimar: Goethe- und Schiller-Archiv,,,"[""Dokument""]",[],EAD,"[""Signatur"", ""Bestand"", ""Kontext"", ""Archivalientyp"", ""Archivalientitel""]",True
2253KDIHJ5IS2BS4PENPXLUMKJHF7LIC,Archive,Saarländisches Landesarchiv,1878.0,1882.0,"[""Archivale""]",[],EAD,"[""Archivaliensignatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Archivalientyp"", ""Digitalisat im Angebot des Archivs""]",True
2257KEJVCMOXBSMC7JHV2NZGJ7VVH7FB,Archive,Klassik Stiftung Weimar: Goethe- und Schiller-Archiv,1830.0,1830.0,"[""Dokument""]","[""Hirt, Alois Ludwig"", ""Goethe, Johann Wolfgang von""]",EAD,"[""Signatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Umfang"", ""Archivalientyp"", ""Indexbegriffe Person/Institution"", ""Archivalientitel""]",True
225LOCJZSZLTA4DCUBFIHG72SPN7JTQZ,Archive,Klassik Stiftung Weimar: Goethe- und Schiller-Archiv,,,"[""Dokument""]",[],EAD,"[""Signatur"", ""Bestand"", ""Kontext"", ""Umfang"", ""Archivalientyp"", ""Archivalientitel""]",True
225STL7K4R2LPP6MIWBKY3OFPZKCOVXO,Other,Museum für Sepulkralkultur,1921.0,1921.0,"[""Bildwerk""]","[""Grafik"", ""Schädel"", ""Alchemie"", ""Todestrieb"", ""Feuersymbolik"", ""Hans G. Goldmann""]",LIDO,"[""Objekt Bezeichnung"", ""Objektbeschreibung"", ""Material/Technik"", ""Maße"", ""Ereignis"", ""(wer)"", ""(wo)"", ""(wann)"", ""Bezug (was)"", ""Bezug (wer)"", ""Standort"", ""Inventarnummer"", ""Sammlung""]",True
2266PS6MJ6DE7EQK4WDS2SETDT2E4QZF,Archive,Saarländisches Landesarchiv,1897.0,1911.0,"[""Archivale""]",[],EAD,"[""Archivaliensignatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Archivalientyp"", ""Digitalisat im Angebot des Archivs""]",True
226FZ26M5EBLSX4RQQRV2JAWRJ77I765,Library,Universitätsbibliothek Bielefeld,1888.0,1888.0,"[""Illustration""]",[],METS,"[""Dokumenttyp"", ""Erschienen in"", ""Sprache""]",True
226KWZUF62O4EXLVMYINM2673QL6WOPG,Archive,Landesarchiv Nordrhein-Westfalen. Abteilung Westfalen,1931.0,1949.0,[],[],EAD,"[""Archivaliensignatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Enthältvermerke"", ""Provenienz"", ""Archivalientyp""]",False
2275O476XXIABGEBHVIVRWCQMCP344SF,Library,ZBW - Deutsche Zentralbibliothek für Wirtschaftswissenschaften - Leibniz-Informationszentrum Wirtschaft,2006.0,2006.0,"[""Arbeitspapier""]","[""Wirtschaft"", ""Immobilienfonds , Zahlungsunfähigkeit , Finanzintermediär , Risiko , Bankenaufsicht , Deutschland""]",Dublin Core,"[""Objektbezeichnung"", ""Objektbeschreibung"", ""Klassifikation"", ""Thema"", ""Ereignis"", ""(wer)"", ""Ereignis"", ""(wer)"", ""(wo)"", ""(wann)"", ""Erschienen in"", ""Sprache"", ""Handle""]",True
2276BPDMOAU7RLS37N7QGD7C5YVHFDC6,Archive,Stadtarchiv Düsseldorf,1965.0,1965.0,"[""Sonstiges""]",[],EAD,"[""Bestand"", ""Kontext"", ""Laufzeit"", ""Provenienz"", ""Formalbeschreibung"", ""Archivalientyp"", ""Sonstige Erschließungsangaben"", ""Archivalientitel""]",False
2277HOLCPL7BKUYSHLKKDUFY4MTNWACN,Museum,Deutsche Fotothek,,,"[""Fotografie""]","[""Szenenbilder"", ""Schauspielszenen"", ""Rollenbildnisse"", ""Berlin"", ""Deutsches Theater Berlin""]",LIDO,"[""AlternativTitel"", ""Objekt Bezeichnung"", ""Objektbeschreibung"", ""Material/Technik"", ""Ereignis"", ""(wer)"", ""Bezug (was)"", ""Bezug (wer)"", ""Bezug (wo)"", ""Bezug (Ereignis)"", ""(wann)"", ""Klassifikation"", ""Weitere Nummer(n)""]",True
227H6MUY4Q2VX5RV5YTQHB7QFAHHJSNU,Library,Deutsche Nationalbibliothek,2011.0,2011.0,"[""Reisebericht 1786-1787""]","[""Geografie, Reisen (Deutschland)"", ""Italien"", ""Italien""]",MARC 21,"[""Urheber"", ""Beteiligte Personen und Organisationen"", ""Ereignis"", ""(wo)"", ""(wer)"", ""(wann)"", ""Ausgabe"", ""Dokumenttyp"", ""Sprache"", ""Umfang"", ""Reihe"", ""Maße"", ""Anmerkungen"", ""Inhaltsverzeichnis"", ""Schlagwort"", ""Klassifikation"", ""ISBN"", ""Standort""]",False
22AWC5JYPZYMNVF4REI3HD7YVBMPXA7D,Archive,Klassik Stiftung Weimar: Goethe- und Schiller-Archiv,1802.0,1802.0,"[""Dokument""]","[""Goethe, Johann Wolfgang von (1749-1832)"", ""Cotta, Johann Friedrich""]",EAD,"[""Signatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Umfang"", ""Archivalientyp"", ""Indexbegriffe Person/Institution"", ""Archivalientitel""]",True
22BTP7FDOU5DMPXVTKD657WNYYQJDEAO,Archive,Landesarchiv Baden-Württemberg,1915.0,1916.0,"[""Personenakten""]",[],EAD,"[""Signatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Archivalientyp""]",False
22C2MUAC5LKXLHVXYWVTG6HZWUM6SNMK,Library,Deutsche Nationalbibliothek,2024.0,2024.0,[],"[""Blockchain"", ""Datensicherung"", ""Kryptologie"", ""Privatsphäre"", ""Trusted Computing"", ""Mehrparteienprotokoll""]",MARC 21,"[""Weitere Titel"", ""Urheber"", ""Beteiligte Personen und Organisationen"", ""Ereignis"", ""(wo)"", ""(wer)"", ""(wann)"", ""Sprache"", ""Umfang"", ""Anmerkungen"", ""Schlagwort"", ""DOI"", ""URN"", ""Standort""]",True
22C35SQ2D22YMXQJX4DNX5KP5T3WCWUZ,Archive,Saarländisches Landesarchiv,1893.0,1896.0,"[""Archivale""]","[""Riegelsberg-Güchenbach"", ""Paulus, Jakob /Bergmann und Wirt""]",EAD,"[""Archivaliensignatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Archivalientyp"", ""Indexbegriffe Person/Institution"", ""Indexbegriffe Ort"", ""Digitalisat im Angebot des Archivs""]",True
22CINUALPZYESFYSEGGCWO5GKT2H6KIG,Archive,Staatsarchiv Amberg,1602.0,1602.0,"[""Urkunden""]","[""Loisnitz, Zehnt"", ""Minich, Johann Wolfgang, Pfleger zu Regenstauf"", ""Philipp Ludwig, Herzog von Pfalz-Neuburg""]",EAD,"[""Archivaliensignatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Formalbeschreibung"", ""Archivalientyp"", ""Indexbegriffe Person/Institution"", ""Indexbegriffe Ort""]",False
22COSU4QMIONNR6HG2MEOZ4S3EZR6DUJ,Archive,Klassik Stiftung Weimar: Goethe- und Schiller-Archiv,1807.0,1807.0,"[""Dokument""]","[""Reinhard, Karl Friedrich"", ""Goethe, Johann Wolfgang von""]",EAD,"[""Signatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Umfang"", ""Archivalientyp"", ""Indexbegriffe Person/Institution"", ""Archivalientitel""]",True
22CRJLADVXEG7CG4LWFH263UU2MTP4DS,Archive,"Akademie der Künste, Archiv",1985.0,1985.0,"[""Akte""]",[],EAD,"[""Archivaliensignatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Enthältvermerke"", ""Provenienz"", ""Umfang"", ""Archivalientyp""]",False
22CUHWTDAGLYAD4RIF3C3GMOU22A44W7,Museum,Deutsche Fotothek,1992.0,1992.0,"[""Fotografie""]","[""Architektur"", ""Schloss"", ""Lustschloss"", ""Schlossgarten"", ""Treppe"", ""Freitreppe"", ""desolat"", ""Schloss Übigau"", ""Schloss Übigau"", ""Dresden"", ""Eosander, Johann Friedrich""]",LIDO,"[""Objekt Bezeichnung"", ""Objektbeschreibung"", ""Material/Technik"", ""Ereignis"", ""(wer)"", ""(wann)"", ""Bezug (was)"", ""Bezug (wo)"", ""Bezug (Ereignis)"", ""(wer)"", ""(wann)"", ""(Beschreibung)"", ""Klassifikation"", ""Weitere Nummer(n)""]",True
22DBRQ63AXCCJZXWDOYOU22QEFNSX3SQ,Archive,Klassik Stiftung Weimar: Goethe- und Schiller-Archiv,1803.0,1803.0,"[""Dokument""]","[""Schnorr von Carolsfeld, Veit Hans Friedrich"", ""Goethe, Johann Wolfgang von""]",EAD,"[""Signatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Umfang"", ""Archivalientyp"", ""Indexbegriffe Person/Institution"", ""Archivalientitel""]",True
22DOAKI6RFPU7TJFOQONCSEHX4ELEUBG,Other,Freies Deutsches Hochstift / Frankfurter Goethe-Museum - Kunstsammlung / Museum,,,"[""Druckgraphik""]","[""Prosa"", ""\""Die Leiden des jungen Werthers\"" (Goethe)"", ""Briefroman"", ""Lotte (Figur in Werthers Leiden)"", ""Angelika Kauffmann""]",LIDO,"[""Objekt Bezeichnung"", ""Objektbeschreibung"", ""Material/Technik"", ""Maße"", ""Bezug (was)"", ""Bezug (wer)"", ""Beschriftung"", ""Verwandtes Objekt/Literatur"", ""Standort"", ""Inventarnummer"", ""Sammlung""]",True
22DVRJ2OE2UWMURXVX3ZGPXSSNF33AT3,Archive,Klassik Stiftung Weimar: Goethe- und Schiller-Archiv,1799.0,1799.0,"[""Dokument""]","[""Voigt, Christian Gottlob"", ""Goethe, Johann Wolfgang von""]",EAD,"[""Signatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Umfang"", ""Archivalientyp"", ""Indexbegriffe Person/Institution"", ""Archivalientitel""]",True
22DXHZLAXPT3RYTNKQADYLYTKMUHQGZH,Museum,Deutsche Fotothek,1963.0,1963.0,"[""Fotografie""]","[""Gärten"", ""Parks"", ""Hausgärten"", ""Weimar""]",LIDO,"[""Objekt Bezeichnung"", ""Objektbeschreibung"", ""Material/Technik"", ""Ereignis"", ""(wer)"", ""(wann)"", ""Bezug (was)"", ""Bezug (wo)"", ""Klassifikation"", ""Weitere Nummer(n)""]",True
22E2JOKC5LZSDCUA2QX5DPOVMRUPGWHW,Library,Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,1856.0,1856.0,"[""Abschnitt""]",[],METS,"[""Dokumenttyp"", ""Erschienen in"", ""Erschienen"", ""Sprache""]",True
22E2SXYY7FUAHQLDUU6RV2MW27MMHAZT,Archive,Landesarchiv Nordrhein-Westfalen. Abteilung Westfalen,,,[],[],EAD,"[""Alt-/Vorsignatur"", ""Bestand"", ""Kontext"", ""Laufzeit"", ""Provenienz"", ""Maße"", ""Archivalientyp""]",False
